title,houseType,floor,position,area,direction,buildTime,viewNum,time,tags,unitPrice,totalPrice
东南二环+满五一套+高楼层，采光视野好+紧临地铁+诚心出售,2室1厅1卫, 高楼层/25层 ,方庄 时代紫芳 · 距离地铁方庄253米,78.44 平米 , 南 , 2002年建,2 人关注 , 2020-01-09发布,近地铁随时看满五年近公园,单价69862元/m²,548万
推荐！电梯 两居室 板楼南北通透,2室1厅1卫, 中楼层/14层 ,望京 望京路3号院 · 距离地铁阜通141米,65 平米 , 南北 , 1988年建,2 人关注 , 2020-01-09发布,近地铁随时看满五年近公园,单价63077元/m²,410万
南北通透两居室 明厅 满五年,2室1厅1卫, 顶层/6层 ,枣园 滨河西里 · 距离地铁清源路761米,58.36 平米 , 南北 , 1994年建,5 人关注 , 2020-01-08发布,近地铁满五年,单价39068元/m²,228万
航天桥 阜成路南北向三居室 双卧朝南 诚意出售,2室2厅1卫, 高楼层/6层 ,甘家口 阜南二街甲二号楼 · 距离地铁杨庄695米,82.84 平米 , 南北 , 1996年建,0 人关注 , 2020-01-08发布,近地铁满五年,单价106229元/m²,880万
朝阳公园地铁站秀水园小区电梯两居室大客厅带东窗,2室1厅1卫, 中楼层/14层 ,团结湖 秀水园小区 · 距离地铁朝阳公园496米,60.15 平米 , 东北 , 1993年建,16 人关注 , 2020-01-08发布,近地铁满五年近公园,单价68163元/m²,410万
刘家窑北里 低楼层 南北通透两居室,2室1厅1卫, 低楼层/6层 ,蒲黄榆 刘家窑北里 · 距离地铁景泰404米,54.2 平米 , 南北 , 1986年建,2 人关注 , 2020-01-07发布,近地铁满五年近公园,单价62362元/m²,338万
满五唯一，精装修东南向高楼层 采光好看房提前联系,3室2厅2卫, 高楼层/24层 ,管庄 京通苑 · 距离地铁管庄494米,146.3 平米 , 东南 , 2000年建,2 人关注 , 2020-01-07发布,近地铁满五年近公园,单价37252元/m²,545万
苹果园 西井一区 南北三居室 中间楼层 随时看房出售,3室1厅1卫, 中楼层/6层 ,苹果园 西井一区 · 距离地铁杨庄954米,55.32 平米 , 南北 , 1980年建,2 人关注 , 2020-01-07发布,近地铁满五年,单价48807元/m²,270万
彩虹新城大两居，业主诚售,2室1厅1卫, 低楼层/19层 ,枣园 彩虹新城 · 距离地铁枣园371米,90.08 平米 , 东南 , 2007年建,0 人关注 , 2020-01-05发布,近地铁满五年,单价44183元/m²,398万
全南两居，中间楼层。满五年，只有契税，不临街纯商品房,2室2厅1卫, 中楼层/30层 ,常营 北京新天地五期 · 距离地铁管庄990米,93.54 平米 , 南 , 2009年建,2 人关注 , 2020-01-05发布,近地铁随时看满五年近公园,单价53453元/m²,500万
和平家园一层带院子 满五年没税 高法央产房 看房随时,3室1厅1卫, 底层/5层 ,和平里 和平街十区 · 距离地铁和平里北街493米,74.78 平米 , 南北 , 1976年建,9 人关注 , 2020-01-05发布,近地铁随时看满五年近公园,单价85451元/m²,639万
新上教育部干部楼 管理好 西南金角正规2室采光充足,2室1厅1卫, 中楼层/25层 ,方庄 芳星园一区 · 距离地铁方庄518米,61.99 平米 , 南西北 , 1995年建,2 人关注 , 2020-01-04发布,近地铁随时看满五年近公园,单价75496元/m²,468万
高层165度观景房！可看西山！二年才出一套卖！诚意出售！,3室1厅2卫, 高楼层/28层 ,惠新西街 世纪嘉园 · 距离地铁安贞门691米,164.79 平米 , 西南 , 2000年建,3 人关注 , 2020-01-03发布,近地铁随时看满五年,单价70999元/m²,1170万
东南向中间层三居 户型好 紧邻地铁1号线八通线6号线,3室2厅1卫, 中楼层/24层 ,甘露园 丽景馨居 · 距离地铁青年路821米,120.59 平米 , 东南 , 2002年建,5 人关注 , 2020-01-03发布,近地铁随时看近公园,单价50585元/m²,610万
此房正规2居南北通透满5一套商品房本前后花园中间楼层,2室1厅1卫, 中楼层/16层 ,崇文门 新景家园东区 · 距离地铁磁器口538米,77.76 平米 , 南北 , 2004年建,3 人关注 , 2020-01-03发布,近地铁满五年,单价100309元/m²,780万
世华泊郡 全明格局南北通透三居 50万精装 中楼层 看房方便,3室2厅2卫, 中楼层/27层 ,北苑 世华泊郡 · 距离地铁北苑1092米,128.21 平米 , 南北 , 2012年建,1 人关注 , 2020-01-06发布,近地铁近公园,单价63958元/m²,820万
2环边南中轴路旁 南北向 低税费 精装3居 可以签约,3室1厅1卫, 中楼层/16层 ,洋桥 洋桥北里 · 距离地铁北京南站388米,88.9 平米 , 南北 , 1988年建,11 人关注 , 2020-01-01发布,近地铁满五年,单价48931元/m²,435万
富力阳光美园 南向两居 首付260万！满5年一套,2室2厅1卫, 低楼层/20层 ,常营 富力阳光美园 · 距离地铁常营650米,88.68 平米 , 南 , 2010年建,9 人关注 , 2019-12-31发布,近地铁随时看满五年近公园,单价51872元/m²,460万
新上 满五唯一 南向两居 诚心出售！！！,2室1厅1卫, 低楼层/9层 ,枣园 首开康乃馨城,90.47 平米 , 南 , 2012年建,1 人关注 , 2019-12-29发布,满五年,单价31834元/m²,288万
优选推荐！地铁1号线四惠东始发站满五年唯一钥匙委托随时签约,2室1厅1卫, 低楼层/28层 ,四惠 通惠家园惠民园 · 距离地铁四惠东280米,75.75 平米 , 东 , 2001年建,8 人关注 , 2020-01-07发布,近地铁随时看,单价52541元/m²,398万
马家堡西里南北电梯两居 中间楼层 满5年 无遮挡,2室1厅1卫, 中楼层/14层 ,马家堡 马家堡西里 · 距离地铁马家堡35米,67.59 平米 , 南北 , 1995年建,24 人关注 , 2019-12-29发布,近地铁满五年近公园,单价51043元/m²,345万
地铁旁，精装修，南向，两居室,2室1厅1卫, 低楼层/28层 ,天宫院 明发雅苑 · 距离地铁天宫院965米,86.66 平米 , 南 , 2015年建,1 人关注 , 2019-12-31发布,近地铁满二年,单价36349元/m²,315万
知春路47号院，中间楼层南北大两居室，带16平米客厅，有阳台,2室1厅1卫, 中楼层/6层 ,中关村 知春路47号院 · 距离地铁知春路203米,68.24 平米 , 南北 , 1996年建,9 人关注 , 2019-12-29发布,近地铁满五年,单价83822元/m²,572万
近地铁，近公园，近商城，南北通透两居室,3室1厅1卫, 低楼层/6层 ,黄村北 金惠园老三里 · 距离地铁高米店北419米,80.69 平米 , 南北 , 1998年建,3 人关注 , 2019-12-31发布,近地铁满五年,单价42137元/m²,340万
新上二环内 东四危改B区 板楼低楼层 南北通透现状两居,2室1厅1卫, 低楼层/4层 ,朝阳门内 仓南胡同 · 距离地铁朝阳门658米,52 平米 , 南北 , 2003年建,2 人关注 , 2019-12-26发布,近地铁满五年,单价126538元/m²,658万
大望路CBD.低首付红庙北里，紧邻地铁口南北两居,2室1厅1卫, 高楼层/6层 ,红庙 红庙北里 · 距离地铁金台路240米,54.81 平米 , 西北 , 1983年建,44 人关注 , 2019-12-27发布,近地铁随时看,单价54370元/m²,298万
地铁边公园旁，南北三居板楼电梯房，不临街，五年唯一，看房随时,3室2厅2卫, 高楼层/17层 ,望京 夏都盈座 · 距离地铁望京219米,176.37 平米 , 南北 , 2003年建,2 人关注 , 2019-12-28发布,近地铁随时看满五年近公园,单价59534元/m²,1050万
静源居小区 新上优质房源 满五年业主诚心出售 看房方便,2室2厅1卫, 中楼层/23层 ,公主坟 静源居 · 距离地铁万寿路515米,109.8 平米 , 东 , 2002年建,0 人关注 , 2020-01-04发布,近地铁满五年,单价83333元/m²,915万
地铁边，公园旁，五年唯一南北三居双卫板楼电梯房，业主诚售,3室2厅2卫, 中楼层/19层 ,望京 夏都盈座 · 距离地铁望京219米,176.29 平米 , 南北 , 2003年建,0 人关注 , 2019-12-25发布,近地铁随时看满五年近公园,单价58426元/m²,1030万
月季园 南北通透两居 电梯房,2室1厅1卫, 低楼层/21层 ,马甸 马甸月季园 · 距离地铁牡丹园394米,57.41 平米 , 南北 , 1997年建,1 人关注 , 2020-01-01发布,近地铁随时看满五年,单价88835元/m²,510万
新上！北二区电梯板楼精装两居，南北通透，商满五一套，业主急售,2室1厅1卫, 低楼层/19层 ,天通苑 天通苑北二区 · 距离地铁天通苑1048米,109.43 平米 , 南北 , 2005年建,1 人关注 , 2019-12-26发布,近地铁随时看满五年近公园,单价37924元/m²,415万
好房诚售，东四环，国美，南北三居两卫，看房有钥匙！,3室2厅2卫, 中楼层/28层 ,朝青 国美第一城2号院,143.45 平米 , 南北 , 2006年建,1 人关注 , 2020-01-04发布,满二年,单价51586元/m²,740万
胜古南里石化家属院新上东南向2居室,2室1厅1卫, 低楼层/16层 ,安贞 胜古南里 · 距离地铁和平西桥354米,56.97 平米 , 东南 , 1985年建,3 人关注 , 2019-12-25发布,近地铁满五年,单价77058元/m²,439万
永辉超市对面 南向两居大客厅视野宽阔业主急售,2室1厅1卫, 中楼层/24层 ,鲁谷 重兴园,88.37 平米 , 东南 , 2003年建,6 人关注 , 2019-12-27发布,满五年,单价44133元/m²,390万
二里庄新上小两居 明厅 板楼2层 满五一套 楼安静,2室1厅1卫, 低楼层/6层 ,二里庄 二里庄小区 · 距离地铁北沙滩467米,55.1 平米 , 东南西 , 1995年建,0 人关注 , 2019-12-24发布,近地铁满五年,单价99456元/m²,548万
地铁6号线北关东 南北精装2居楼层二层 满五唯一,2室1厅1卫, 低楼层/6层 ,潞苑 自然佳境,86.63 平米 , 南北 , 2003年建,4 人关注 , 2019-12-22发布,满五年,单价37516元/m²,325万
灯市口低总价南北通透两居 业主诚心出售有钥匙可以停车安静,2室1厅1卫, 底层/6层 ,东四 东四二条 · 距离地铁东四147米,57.55 平米 , 南北 , 1990年建,15 人关注 , 2019-12-25发布,近地铁满五年,单价92094元/m²,530万
北一区 东西通透板楼两居室 商品房满五年唯一 落地窗,2室1厅1卫, 中楼层/12层 ,天通苑 天通苑北一区 · 距离地铁天通苑南263米,115.73 平米 , 东西 , 2004年建,0 人关注 , 2019-12-21发布,近地铁满五年,单价36291元/m²,420万
安苑北里板楼二层！东南三改二，满五年公房可高贷款,3室1厅1卫, 低楼层/6层 ,亚运村 安苑北里 · 距离地铁惠新西街北口665米,66.93 平米 , 东南西北 , 1987年建,7 人关注 , 2019-12-21发布,近地铁随时看满五年近公园,单价73211元/m²,490万
关注新上强佑新城 地库直达 空中花园北五环大社区业主随时签约,3室1厅2卫, 高楼层/25层 ,清河 强佑清河新城 · 距离地铁永泰庄1142米,139.58 平米 , 南北 , 2009年建,3 人关注 , 2019-12-20发布,近地铁满五年,单价64408元/m²,899万
近三环 可做两居带厅堂 满五年公房,1室1厅1卫, 高楼层/9层 ,马甸 马甸月季园 · 距离地铁牡丹园394米,46.2 平米 , 西 , 2010年建,7 人关注 , 2019-12-20发布,近地铁满五年近公园,单价79004元/m²,365万
望春园东南一居室 户型方正 视野开阔 满五一套 人车分流,1室2厅1卫, 低楼层/23层 ,北苑 北苑家园望春园 · 距离地铁立水桥南549米,69.57 平米 , 东南 , 2008年建,1 人关注 , 2020-01-04发布,近地铁满五年,单价58933元/m²,410万
芍药居北里 新上东南大两居 看房方便,2室1厅1卫, 低楼层/24层 ,芍药居 芍药居北里二区 · 距离地铁芍药居672米,73.52 平米 , 东南 , 1998年建,1 人关注 , 2019-12-20发布,近地铁满五年,单价79570元/m²,585万
兴隆家园三期 全南两居 前后花园 无遮挡 高层采光视野好,2室2厅1卫, 中楼层/22层 ,高碑店 兴隆家园 · 距离地铁高碑店618米,105.47 平米 , 南 , 2005年建,0 人关注 , 2019-12-27发布,近地铁满五年近公园,单价59733元/m²,630万
八宝庄 带电梯 独院管理东南向二居 有钥匙随时可看,2室1厅1卫, 高楼层/16层 ,定慧寺 八宝庄小区 · 距离地铁西钓鱼台849米,61.6 平米 , 东南 , 1988年建,8 人关注 , 2019-12-24发布,近地铁随时看满五年近公园,单价73052元/m²,450万
必看好房~115平大3居 H好户型南北双通透 采光棒 卧室大,3室2厅1卫, 底层/6层 ,东坝 朝阳新城五区,115.64 平米 , 南北 , 2007年建,6 人关注 , 2019-12-18发布,满五年,单价45400元/m²,525万
梨园城铁 南北通透大两居 带个储物间 中间楼层 诚意出售,2室1厅1卫, 中楼层/5层 ,梨园 站前巴黎 · 距离地铁梨园751米,96.16 平米 , 南北 , 2006年建,1 人关注 , 2020-01-05发布,近地铁满五年,单价40141元/m²,386万
必看好房~中层 满五年一套商品房 123平南北大三居 位置好,3室2厅2卫, 中楼层/6层 ,东坝 朝阳新城二区,123.52 平米 , 南北 , 2004年建,6 人关注 , 2019-12-17发布,满五年,单价46146元/m²,570万
永乐小区南向靠近地铁正规一居,1室1厅1卫, 顶层/6层 ,鲁谷 永乐小区 · 距离地铁八宝山553米,43.41 平米 , 南 , 1988年建,12 人关注 , 2019-12-18发布,近地铁满二年,单价51831元/m²,225万
看房随时 业主诚售 邻近地鉄 有钥匙,3室2厅1卫, 顶层/6层 ,东直门 民安小区东直门北中街 · 距离地铁东直门32米,91.69 平米 , 东南西 , 2002年建,3 人关注 , 2019-12-17发布,近地铁随时看满五年近公园,单价93794元/m²,860万
陶然亭公园 紧邻地铁 阳光房 电梯房 业主一套房出售,2室1厅1卫, 高楼层/18层 ,北京南站 开阳里六区 · 距离地铁北京南站731米,70.6 平米 , 南 , 2001年建,18 人关注 , 2019-12-16发布,近地铁满五年,单价75779元/m²,535万
新上丽泽商圈 丰益花园西区 中高层无遮挡 直对公园,2室1厅1卫, 高楼层/25层 ,丰益桥 丰益花园西区 · 距离地铁泥洼259米,76.31 平米 , 西南 , 2001年建,5 人关注 , 2019-12-14发布,近地铁满五年近公园,单价60936元/m²,465万
西二旗融泽6号院 电梯板楼 毛坯钥匙全明格局 满2年,2室1厅1卫, 低楼层/29层 ,回龙观 融泽嘉园6号院 · 距离地铁龙泽974米,97.28 平米 , 南北 , 2014年建,3 人关注 , 2020-01-02发布,近地铁满二年,单价48828元/m²,475万
地铁7号线双合家园 南北通透三居室 全明格局,3室1厅1卫, 中楼层/22层 ,垡头 双合家园D区 · 距离地铁双合456米,90.45 平米 , 南北 , 2013年建,5 人关注 , 2019-12-15发布,近地铁满五年,单价42344元/m²,383万
永定路南 青塔蔚园电梯两居 精装婚房 采光好,2室1厅1卫, 低楼层/20层 ,青塔 青塔蔚园,63.57 平米 , 西南 , 1995年建,1 人关注 , 2019-12-14发布,满五年近公园,单价50338元/m²,320万
东四环 十里堡 正规两居，楼层无遮挡 看房方便,2室1厅1卫, 中楼层/35层 ,十里堡 海华堂 · 距离地铁十里堡443米,87.55 平米 , 东北 , 2008年建,5 人关注 , 2019-12-22发布,近地铁满五年近公园,单价55397元/m²,485万
永乐东区 朝南两居室 近地铁 采光好 诚心卖,2室1厅1卫, 高楼层/6层 ,鲁谷 永乐小区 · 距离地铁八宝山553米,48.82 平米 , 东 , 1978年建,19 人关注 , 2019-12-13发布,近地铁满二年,单价45063元/m²,220万
横五条2号院 刘家窑地铁边 三环边 低总价随时看,2室1厅1卫, 中楼层/6层 ,刘家窑 横五条 · 距离地铁刘家窑538米,53.68 平米 , 东西 , 1990年建,26 人关注 , 2019-12-11发布,近地铁随时看,单价52161元/m²,280万
紫芳园新上一居室，视野无限好，可随时看房,1室1厅1卫, 高楼层/27层 ,方庄 时代紫芳 · 距离地铁方庄253米,52.38 平米 , 东 , 2002年建,8 人关注 , 2019-12-15发布,近地铁随时看满二年近公园,单价62810元/m²,329万
（幸福我家）东四环 大望路 慈云寺小区 南向一居 诚售,1室1厅1卫, 顶层/6层 ,红庙 慈云寺 · 距离地铁大望路960米,37.66 平米 , 南 , 1979年建,15 人关注 , 2019-12-29发布,近地铁满五年,单价57090元/m²,215万
四号地铁马家堡站 二居室业主诚售 看房联系,2室1厅1卫, 高楼层/18层 ,马家堡 嘉园一里 · 距离地铁马家堡202米,59.19 平米 , 西南 , 1998年建,7 人关注 , 2019-12-11发布,近地铁满二年,单价54570元/m²,323万
东城区 和平里2006年小区 楼龄新 租金高西营房,1室0厅1卫, 中楼层/16层 ,安定门 西营房 · 距离地铁安定门175米,36.31 平米 , 北 , 2006年建,2 人关注 , 2020-01-06发布,近地铁随时看满五年,单价118425元/m²,430万
交东 板楼两居室 特殊户型 大阳台 空置业主急售,2室1厅1卫, 高楼层/6层 ,交道口 香饵胡同 · 距离地铁北新桥158米,72.95 平米 , 东西 , 2002年建,2 人关注 , 2019-12-11发布,近地铁随时看满五年近公园,单价119945元/m²,875万
