title,houseType,floor,position,area,direction,buildTime,viewNum,time,tags,unitPrice,totalPrice
中楼层 精装南北边套两房 送车位,2室0厅1卫, 中楼层/4层 ,康健 康乐小区 · 距离地铁上海南站627米,53.92 平米 , 南北 , 1992年建,1 人关注 , 2020-01-10发布,近地铁满二年,单价69547元/m²,375万
随时看房 看中了好谈 房东诚心卖,1室0厅1卫, 高楼层/6层 ,浦东世博 上南三村 · 距离地铁成山路367米,29.6 平米 , 南 , 1984年建,2 人关注 , 2020-01-05发布,近地铁随时看,单价62500元/m²,185万
南北两房一厅，临近内环，周边生活配套齐全,2室1厅1卫, 中楼层/7层 ,甘泉宜川 宜川三村-中山北路1297弄 · 距离地铁中潭路605米,66.97 平米 , 南北 , 1991年建,2 人关注 , 2019-12-15发布,近地铁满五年,单价52262元/m²,350万
宜川六村 低总价双南两房 中间两房 采光无遮挡,2室0厅1卫, 中楼层/6层 ,甘泉宜川 宜川六村 · 距离地铁中潭路333米,44.21 平米 , 南 , 1977年建,2 人关注 , 2019-12-08发布,近地铁随时看满五年近公园,单价52024元/m²,230万
14号轻轨+双南双天井+有钥匙看房方便+诚意出售,2室1厅1卫, 底层/6层 ,丰庄 嘉美坊,66.5 平米 , 南 , 2001年建,7 人关注 , 2019-11-24发布,随时看满五年,单价45113元/m²,300万
南北全明俩房，看房随时方便，电梯房，交通方便,2室2厅1卫, 高楼层/24层 ,洋泾 凌高小区 · 距离地铁北洋泾路862米,77.72 平米 , 南 , 1993年建,2 人关注 , 2019-11-22发布,近地铁满五年,单价63690元/m²,495万
中间位置，中间楼层，诚心出售，有钥匙,1室1厅1卫, 中楼层/6层 ,古美罗阳 古美西路420弄 · 距离地铁莲花路783米,52.3 平米 , 南 , 1996年建,0 人关注 , 2020-01-20发布,近地铁满五年,单价54493元/m²,285万
次新小区，一手动迁，税费少，钥匙房，景观房,2室2厅1卫, 顶层/27层 ,植物园 华沁家园,90.17 平米 , 南 ,,0 人关注 , 2020-01-16发布,满五年,单价62105元/m²,560万
2楼精装修，全明户型，价好谈，空关我有钥匙，诚心急卖,2室1厅1卫, 低楼层/6层 ,南站 汇成一村 · 距离地铁上海南站841米,52.2 平米 , 东南 , 2001年建,3 人关注 , 2020-01-09发布,近地铁满五年,单价53640元/m²,280万
不限贷，不限贷，08年近合川路站，买一层送一层,2室1厅2卫, 高楼层/11层 ,静安新城 大上海国际花园京都园 · 距离地铁合川路912米,63.37 平米 , 北 , 2008年建,1 人关注 , 2020-01-19发布,近地铁随时看复式loft,单价49708元/m²,315万
双南两房，钥匙房，交通方便,2室0厅1卫, 中楼层/6层 ,杨浦公园 延吉东路557弄 · 距离地铁延吉中路462米,43.99 平米 , 南 , 1966年建,2 人关注 , 2020-01-15发布,近地铁随时看,单价47738元/m²,210万
有钥匙，随时看。南北2房，边套全明，爬楼不费力,2室1厅1卫, 低楼层/6层 ,金桥 朱家门小区-莱阳路451弄 · 距离地铁东陆路736米,50.54 平米 , 南北 , 2001年建,2 人关注 , 2019-12-28发布,近地铁满二年,单价44519元/m²,225万
花园旁，健身楼层，双南两房一厅，产权满五年，委托钥匙看房随时,2室1厅1卫, 顶层/6层 ,南码头 临沂三村 · 距离地铁临沂新村729米,57.13 平米 , 南 , 1987年建,3 人关注 , 2019-12-27发布,近地铁满五年,单价48136元/m²,275万
园南三村，朝南一房，不占学籍，预约看房,1室1厅1卫, 顶层/6层 ,植物园 园南三村,42 平米 , 南 , 1994年建,2 人关注 , 2019-12-05发布,满五年,单价82143元/m²,345万
有钥匙一梯两户上 西位，楼层好边套全明采光好诚意卖,2室1厅1卫, 低楼层/7层 ,漕河泾 桂林苑 · 距离地铁桂林路857米,87 平米 , 南 , 1996年建,0 人关注 , 2020-01-17发布,近地铁随时看,单价60345元/m²,525万
我家优选好房，(有钥匙），竹园没用，采光四楼，位置安静,1室1厅1卫, 中楼层/6层 ,金桥 柳埠小区 · 距离地铁博兴路454米,39.22 平米 , 南 , 1995年建,1 人关注 , 2019-11-22发布,近地铁随时看满五年,单价65018元/m²,255万
买金杨找小 余，带你找好房,2室1厅1卫, 高楼层/6层 ,金杨 金杨七街坊 · 距离地铁蓝天路749米,49.13 平米 , 南 , 1996年建,0 人关注 , 2019-12-19发布,近地铁满五年,单价45797元/m²,225万
居家南北两房，楼层好，位置佳，可随时看房,2室1厅1卫, 低楼层/6层 ,金杨 金杨十街坊 · 距离地铁金桥路612米,52.96 平米 , 南北 , 1995年建,3 人关注 , 2019-12-04发布,近地铁随时看满五年,单价49660元/m²,263万
好房诚心出售！看房有钥匙！前后无遮挡！,1室1厅1卫, 高楼层/6层 ,金杨 金杨十街坊 · 距离地铁金桥路612米,37.6 平米 , 南 , 1995年建,7 人关注 , 2019-11-19发布,近地铁满五年,单价49202元/m²,185万
罗秀新村 46平米的一房一厅 房东诚心出售 有钥匙看房方便。,1室1厅1卫, 底层/6层 ,长桥 罗秀新村,46 平米 , 南 , 2001年建,0 人关注 , 2019-11-23发布,随时看满五年,单价50000元/m²,230万
上海南站金牛苑，交通便利，中间楼层一室半,1室1厅1卫, 中楼层/6层 ,南站 金牛苑 · 距离地铁上海南站415米,39.24 平米 , 南 , 1997年建,0 人关注 , 2019-11-20发布,近地铁满五年,单价66259元/m²,260万
